,,,UNIDAD SNASPE,TOTAL,PROCEDENCIA,CHILENOS,EXTRANJEROS,
,,,XII MAGALLANES Y ANTÁRTICA CHILENA,"409,541","208,517","201,024",,
,,,M.N. CUEVA DEL MILODÓN,"110,833","77,585","33,248",,
,,,M.N. LAGUNA DE LOS CISNES,-,-,-,,
,,,M.N. LOS PINGÜINOS,"31,291","9,505","21,786",,
,,,P.N. ALBERTO DE AGOSTINI,-,-,-,,
,,,P.N. BERNARDO O'HIGGINS,"29,577","16,631","12,946",,
,,,P.N. CABO DE HORNOS,"8,333","1,778","6,555",,
,,,P.N. PALI AIKE,"2,269","1,333",936,,
,,,P.N. TORRES DEL PAINE,"211,886","89,013","122,873",,
,,,R.N. ALACALUFES,"1,270",469,801,,
,,,R.N. LAGUNA PARRILLAR,"3,481","3,304",177,,
,,,R.N. MAGALLANES,"10,601","8,899","1,702",,
,,,METROPOLITANA,"114,969","110,134","4,835",,
,,,M.N. EL MORADO,"20,215","15,712","4,503",,
,,,R.N. RIO CLARILLO,"94,754","94,422",332,,
